class,eps,jaccard5_predclass,pred_preserved
DoS,0.01,0.42857142857142855,True
DoS,0.05,0.0,True
DoS,0.1,0.42857142857142855,True
DoS,0.01,0.25,False
DoS,0.05,0.25,False
DoS,0.1,0.25,True
DoS,0.01,0.42857142857142855,True
DoS,0.05,0.25,True
DoS,0.1,0.25,True
DoS,0.01,0.25,False
DoS,0.05,0.6666666666666666,False
DoS,0.1,0.42857142857142855,True
DoS,0.01,0.42857142857142855,False
DoS,0.05,0.25,True
DoS,0.1,0.25,False
DoS,0.01,0.42857142857142855,True
DoS,0.05,0.6666666666666666,False
DoS,0.1,0.42857142857142855,False
DoS,0.01,0.42857142857142855,False
DoS,0.05,0.25,True
DoS,0.1,0.25,False
DoS,0.01,0.25,True
DoS,0.05,0.42857142857142855,True
DoS,0.1,0.6666666666666666,False
DoS,0.01,0.25,False
DoS,0.05,0.25,True
DoS,0.1,0.1111111111111111,False
DoS,0.01,0.25,True
DoS,0.05,0.42857142857142855,False
DoS,0.1,0.25,False
DoS,0.01,0.25,False
DoS,0.05,0.25,False
DoS,0.1,0.25,True
DoS,0.01,0.42857142857142855,True
DoS,0.05,0.6666666666666666,True
DoS,0.1,0.6666666666666666,True
DoS,0.01,0.6666666666666666,True
DoS,0.05,0.42857142857142855,False
DoS,0.1,0.42857142857142855,False
DoS,0.01,0.42857142857142855,True
DoS,0.05,0.42857142857142855,False
DoS,0.1,0.6666666666666666,True
DoS,0.01,0.25,False
DoS,0.05,0.6666666666666666,True
DoS,0.1,0.42857142857142855,False
DoS,0.01,0.25,True
DoS,0.05,0.6666666666666666,True
DoS,0.1,0.25,True
DoS,0.01,0.25,True
DoS,0.05,0.42857142857142855,False
DoS,0.1,0.25,False
DoS,0.01,0.42857142857142855,False
DoS,0.05,0.42857142857142855,False
DoS,0.1,0.6666666666666666,True
DoS,0.01,0.42857142857142855,False
DoS,0.05,0.6666666666666666,False
DoS,0.1,0.6666666666666666,False
DoS,0.01,0.42857142857142855,False
DoS,0.05,0.42857142857142855,False
DoS,0.1,0.25,True
DoS,0.01,0.25,False
DoS,0.05,0.42857142857142855,False
DoS,0.1,0.25,False
DoS,0.01,0.1111111111111111,True
DoS,0.05,0.25,False
DoS,0.1,0.42857142857142855,False
DoS,0.01,0.42857142857142855,True
DoS,0.05,0.25,False
DoS,0.1,0.42857142857142855,True
DoS,0.01,0.42857142857142855,False
DoS,0.05,0.25,True
DoS,0.1,0.6666666666666666,False
DoS,0.01,0.42857142857142855,True
DoS,0.05,0.25,True
DoS,0.1,0.42857142857142855,True
DoS,0.01,0.42857142857142855,False
DoS,0.05,0.42857142857142855,False
DoS,0.1,0.6666666666666666,True
DoS,0.01,0.42857142857142855,True
DoS,0.05,0.42857142857142855,True
DoS,0.1,0.25,True
DoS,0.01,0.42857142857142855,True
DoS,0.05,0.42857142857142855,False
DoS,0.1,0.6666666666666666,True
DoS,0.01,0.1111111111111111,True
DoS,0.05,0.25,True
DoS,0.1,0.25,True
DoS,0.01,0.1111111111111111,True
DoS,0.05,0.25,False
DoS,0.1,0.25,True
DoS,0.01,0.42857142857142855,False
DoS,0.05,0.42857142857142855,False
DoS,0.1,0.6666666666666666,False
DoS,0.01,0.6666666666666666,False
DoS,0.05,0.25,False
DoS,0.1,0.0,True
DoS,0.01,0.42857142857142855,True
DoS,0.05,0.42857142857142855,True
DoS,0.1,0.42857142857142855,True
DoS,0.01,0.1111111111111111,False
DoS,0.05,0.25,False
DoS,0.1,0.42857142857142855,True
DoS,0.01,0.42857142857142855,True
DoS,0.05,0.25,True
DoS,0.1,0.25,True
DoS,0.01,0.42857142857142855,True
DoS,0.05,0.42857142857142855,True
DoS,0.1,0.25,False
DoS,0.01,0.6666666666666666,False
DoS,0.05,0.25,False
DoS,0.1,0.25,False
DoS,0.01,0.25,False
DoS,0.05,0.42857142857142855,False
DoS,0.1,0.42857142857142855,False
DoS,0.01,0.42857142857142855,True
DoS,0.05,0.1111111111111111,False
DoS,0.1,0.25,True
Mirai,0.01,0.42857142857142855,True
Mirai,0.05,0.42857142857142855,True
Mirai,0.1,0.42857142857142855,True
Mirai,0.01,0.42857142857142855,True
Mirai,0.05,0.42857142857142855,True
Mirai,0.1,0.42857142857142855,True
Mirai,0.01,0.42857142857142855,True
Mirai,0.05,0.42857142857142855,True
Mirai,0.1,0.6666666666666666,True
Mirai,0.01,0.42857142857142855,True
Mirai,0.05,0.6666666666666666,True
Mirai,0.1,0.25,True
Mirai,0.01,0.6666666666666666,True
Mirai,0.05,0.25,True
Mirai,0.1,0.6666666666666666,True
Mirai,0.01,0.6666666666666666,True
Mirai,0.05,0.6666666666666666,True
Mirai,0.1,0.42857142857142855,True
Mirai,0.01,0.6666666666666666,True
Mirai,0.05,0.42857142857142855,True
Mirai,0.1,0.42857142857142855,True
Mirai,0.01,0.42857142857142855,True
Mirai,0.05,0.42857142857142855,True
Mirai,0.1,0.42857142857142855,True
Mirai,0.01,0.6666666666666666,True
Mirai,0.05,0.42857142857142855,True
Mirai,0.1,0.6666666666666666,True
Mirai,0.01,0.42857142857142855,True
Mirai,0.05,0.42857142857142855,True
Mirai,0.1,0.42857142857142855,True
